date,cases
2020-03-01,4
2020-03-02,4
2020-03-03,6
2020-03-04,14
2020-03-05,7
2020-03-06,3
2020-03-07,11
2020-03-08,9
2020-03-09,10
2020-03-10,23
2020-03-11,12
2020-03-12,28
2020-03-13,43
2020-03-14,49
2020-03-15,52
2020-03-16,101
2020-03-17,54
2020-03-18,141
2020-03-19,160
2020-03-20,172
2020-03-21,144
2020-03-22,537
2020-03-23,278
2020-03-24,430
2020-03-25,359
2020-03-26,374
2020-03-27,328
2020-03-28,257
2020-03-29,528
2020-03-30,297
2020-03-31,303
2020-04-01,285
2020-04-02,266
2020-04-03,140
2020-04-04,96
2020-04-05,200
2020-04-06,145
2020-04-07,93
2020-04-08,64
2020-04-09,100
2020-04-10,86
2020-04-11,65
2020-04-12,10
2020-04-13,46
2020-04-14,41
2020-04-15,47
2020-04-16,21
2020-04-17,65
2020-04-18,53
2020-04-19,26
2020-04-20,13
2020-04-21,20
2020-04-22,4
2020-04-23,18
2020-04-24,8
2020-04-25,20
2020-04-26,21
2020-04-27,4
2020-04-28,18
2020-04-29,8
